ダウンロードした時刻：2017/10/22 02:27:04,,,
,,,
,名古屋,名古屋,名古屋
年月日,最高気温(℃),最低気温(℃),天気概況(昼：06時〜18時)
,,,
,,,
2017/9/21,28.7,17.9,晴後一時薄曇
2017/9/22,23.8,17.6,曇後雨
2017/9/23,28.7,19.7,曇後一時晴
2017/9/24,28.2,20,曇時々晴
2017/9/25,29.2,17.9,晴
2017/9/26,29.6,18.5,晴
2017/9/27,28,19.2,曇後一時雨
2017/9/28,24.6,16.4,　雨時々曇一時晴
2017/9/29,26.5,13,快晴
2017/9/30,26.5,17.4,薄曇後晴
2017/10/1,26.7,14.4,曇一時晴
2017/10/2,24.6,18.9,雨一時曇
2017/10/3,28.6,18.9,曇一時雨後晴
2017/10/4,23.8,15.2,曇後晴
2017/10/5,23.2,14,曇
2017/10/6,19.8,15.1,雨一時曇
2017/10/7,24,15.2,曇時々雨
2017/10/8,28.7,17.1,晴後一時薄曇
2017/10/9,26.7,20,曇後時々晴
2017/10/10,29.6,18.9,快晴
2017/10/11,29.9,19.1,晴
2017/10/12,26.9,20.5,曇
2017/10/13,20.7,17,曇時々雨
2017/10/14,21.4,17,曇一時雨
2017/10/15,18.9,15.3,雨
2017/10/16,16.6,14.1,雨
2017/10/17,17.1,13.8,雨後曇一時晴
2017/10/18,20.8,12.7,晴後曇
2017/10/19,15.9,12.9,雨時々曇
2017/10/20,19.2,14.8,曇時々雨
2017/10/21,18.3,17,